Soal Pertanyaan,Label,Casefold,Tokenize,FreqDist,Stopwords,Stemmed
ASEAN merupakan organisasi regional Asia Tenggara yang dibentuk berdasarkan Deklarasi Bangkok tanggal 8 Agustus 1967. Dilihat dari segi politik organisasi tersebut bertujuan ,C4,asean merupakan organisasi regional asia tenggara yang dibentuk berdasarkan deklarasi bangkok tanggal 8 agustus 1967. dilihat dari segi politik organisasi tersebut bertujuan ,"['asean', 'merupakan', 'organisasi', 'regional', 'asia', 'tenggara', 'yang', 'dibentuk', 'berdasarkan', 'deklarasi', 'bangkok', 'tanggal', '8', 'agustus', '1967', 'dilihat', 'dari', 'segi', 'politik', 'organisasi', 'tersebut', 'bertujuan']",<FreqDist with 21 samples and 22 outcomes>,"['asean', 'organisasi', 'regional', 'asia', 'tenggara', 'dibentuk', 'berdasarkan', 'deklarasi', 'bangkok', 'tanggal', '8', 'agustus', '1967', 'segi', 'politik', 'organisasi', 'bertujuan']","['asean', 'organisasi', 'regional', 'asia', 'tenggara', 'bentuk', 'dasar', 'deklarasi', 'bangkok', 'tanggal', '8', 'agustus', '1967', 'segi', 'politik', 'organisasi', 'tuju']"
Gerakan Non Blok merupakan organisasi negara-negara berkembang yang dibentuk berdasarkan Konferensi Beograd pada tahun 1961. Organisasi yang digagas antara lain oleh Bung Karno tersebut bertujuan ,C4,gerakan non blok merupakan organisasi negara-negara berkembang yang dibentuk berdasarkan konferensi beograd pada tahun 1961. organisasi yang digagas antara lain oleh bung karno tersebut bertujuan ,"['gerakan', 'non', 'blok', 'merupakan', 'organisasi', 'negaranegara', 'berkembang', 'yang', 'dibentuk', 'berdasarkan', 'konferensi', 'beograd', 'pada', 'tahun', '1961', 'organisasi', 'yang', 'digagas', 'antara', 'lain', 'oleh', 'bung', 'karno', 'tersebut', 'bertujuan']",<FreqDist with 23 samples and 25 outcomes>,"['gerakan', 'non', 'blok', 'organisasi', 'negaranegara', 'berkembang', 'dibentuk', 'berdasarkan', 'konferensi', 'beograd', '1961', 'organisasi', 'digagas', 'karno', 'bertujuan']","['gera', 'non', 'blok', 'organisasi', 'negaranegara', 'kembang', 'bentuk', 'dasar', 'konferensi', 'beograd', '1961', 'organisasi', 'gagas', 'karno', 'tuju']"
Salah satu penyebab kacaunya kondisi perekonomian Indonesia pada masa awal kemerdekaan karena kas negara kosong. Upaya pemerintah Republik Indonesia mengisi kas negara yang kosong pada awal Kemerdekaan adalah ,C4,salah satu penyebab kacaunya kondisi perekonomian indonesia pada masa awal kemerdekaan karena kas negara kosong. upaya pemerintah republik indonesia mengisi kas negara yang kosong pada awal kemerdekaan adalah ,"['salah', 'satu', 'penyebab', 'kacaunya', 'kondisi', 'perekonomian', 'indonesia', 'pada', 'masa', 'awal', 'kemerdekaan', 'karena', 'kas', 'negara', 'kosong', 'upaya', 'pemerintah', 'republik', 'indonesia', 'mengisi', 'kas', 'negara', 'yang', 'kosong', 'pada', 'awal', 'kemerdekaan', 'adalah']",<FreqDist with 21 samples and 28 outcomes>,"['salah', 'penyebab', 'kacaunya', 'kondisi', 'perekonomian', 'indonesia', 'kemerdekaan', 'kas', 'negara', 'kosong', 'upaya', 'pemerintah', 'republik', 'indonesia', 'mengisi', 'kas', 'negara', 'kosong', 'kemerdekaan']","['salah', 'sebab', 'kacau', 'kondisi', 'ekonomi', 'indonesia', 'merdeka', 'kas', 'negara', 'kosong', 'upaya', 'perintah', 'republik', 'indonesia', 'isi', 'kas', 'negara', 'kosong', 'merdeka']"
Indonesia harus dapat mengatasi permasalahan ekonomi yang dihadapi pada masa awal kemerdekaan. Salah satu upaya bangsa Indonesia dalam melakukan perbaikan ekonomi pada awal kemerdekaan dilakukan dengan cara ,C5,indonesia harus dapat mengatasi permasalahan ekonomi yang dihadapi pada masa awal kemerdekaan. salah satu upaya bangsa indonesia dalam melakukan perbaikan ekonomi pada awal kemerdekaan dilakukan dengan cara ,"['indonesia', 'harus', 'dapat', 'mengatasi', 'permasalahan', 'ekonomi', 'yang', 'dihadapi', 'pada', 'masa', 'awal', 'kemerdekaan', 'salah', 'satu', 'upaya', 'bangsa', 'indonesia', 'dalam', 'melakukan', 'perbaikan', 'ekonomi', 'pada', 'awal', 'kemerdekaan', 'dilakukan', 'dengan', 'cara']",<FreqDist with 22 samples and 27 outcomes>,"['indonesia', 'mengatasi', 'permasalahan', 'ekonomi', 'dihadapi', 'kemerdekaan', 'salah', 'upaya', 'bangsa', 'indonesia', 'perbaikan', 'ekonomi', 'kemerdekaan']","['indonesia', 'atas', 'masalah', 'ekonomi', 'hadap', 'merdeka', 'salah', 'upaya', 'bangsa', 'indonesia', 'baik', 'ekonomi', 'merdeka']"
"Walaupun pada awalnya secara tersembunyi tujuan Pemerintah Kolonial mengeluarkan kebijakan Politik Etis adalah untuk menciptakan kalangan pegawai yang memiliki keterampilan dan dapat dibayar murah, namun kemudian kebijakan tersebut dapat memberikan dampak positif bagi bangsa Indonesia, yaitu ",C4,"walaupun pada awalnya secara tersembunyi tujuan pemerintah kolonial mengeluarkan kebijakan politik etis adalah untuk menciptakan kalangan pegawai yang memiliki keterampilan dan dapat dibayar murah, namun kemudian kebijakan tersebut dapat memberikan dampak positif bagi bangsa indonesia, yaitu ","['walaupun', 'pada', 'awalnya', 'secara', 'tersembunyi', 'tujuan', 'pemerintah', 'kolonial', 'mengeluarkan', 'kebijakan', 'politik', 'etis', 'adalah', 'untuk', 'menciptakan', 'kalangan', 'pegawai', 'yang', 'memiliki', 'keterampilan', 'dan', 'dapat', 'dibayar', 'murah', 'namun', 'kemudian', 'kebijakan', 'tersebut', 'dapat', 'memberikan', 'dampak', 'positif', 'bagi', 'bangsa', 'indonesia', 'yaitu']",<FreqDist with 34 samples and 36 outcomes>,"['tersembunyi', 'tujuan', 'pemerintah', 'kolonial', 'mengeluarkan', 'kebijakan', 'politik', 'etis', 'menciptakan', 'kalangan', 'pegawai', 'memiliki', 'keterampilan', 'dibayar', 'murah', 'kebijakan', 'dampak', 'positif', 'bangsa', 'indonesia']","['sembunyi', 'tuju', 'perintah', 'kolonial', 'keluar', 'bijak', 'politik', 'etis', 'cipta', 'kalang', 'pegawai', 'milik', 'terampil', 'bayar', 'murah', 'bijak', 'dampak', 'positif', 'bangsa', 'indonesia']"
"Sejak terputusnya hubungan perdagangan antara Eropa dengan Timur Tengah, bangsa- bangsa Barat berlomba-lomba mencari dunia Timur khususnya ke nusantara. Dilihat dari segi politik pencarian ke dunia Timur tersebut antara lain bertujuan untuk 
",C4,"sejak terputusnya hubungan perdagangan antara eropa dengan timur tengah, bangsa- bangsa barat berlomba-lomba mencari dunia timur khususnya ke nusantara. dilihat dari segi politik pencarian ke dunia timur tersebut antara lain bertujuan untuk 
","['sejak', 'terputusnya', 'hubungan', 'perdagangan', 'antara', 'eropa', 'dengan', 'timur', 'tengah', 'bangsa', 'bangsa', 'barat', 'berlombalomba', 'mencari', 'dunia', 'timur', 'khususnya', 'ke', 'nusantara', 'dilihat', 'dari', 'segi', 'politik', 'pencarian', 'ke', 'dunia', 'timur', 'tersebut', 'antara', 'lain', 'bertujuan', 'untuk']",<FreqDist with 26 samples and 32 outcomes>,"['terputusnya', 'hubungan', 'perdagangan', 'eropa', 'timur', 'bangsa', 'bangsa', 'barat', 'berlombalomba', 'mencari', 'dunia', 'timur', 'nusantara', 'segi', 'politik', 'pencarian', 'dunia', 'timur', 'bertujuan']","['putus', 'hubung', 'dagang', 'eropa', 'timur', 'bangsa', 'bangsa', 'barat', 'berlombalomba', 'cari', 'dunia', 'timur', 'nusantara', 'segi', 'politik', 'cari', 'dunia', 'timur', 'tuju']"
Rumusan yang berkaitan dengan maksud dan tujuan pembentukan Negara Indonesia merdeka tertuang di dalam ,C4,rumusan yang berkaitan dengan maksud dan tujuan pembentukan negara indonesia merdeka tertuang di dalam ,"['rumusan', 'yang', 'berkaitan', 'dengan', 'maksud', 'dan', 'tujuan', 'pembentukan', 'negara', 'indonesia', 'merdeka', 'tertuang', 'di', 'dalam']",<FreqDist with 14 samples and 14 outcomes>,"['rumusan', 'berkaitan', 'maksud', 'tujuan', 'pembentukan', 'negara', 'indonesia', 'merdeka', 'tertuang']","['rumus', 'kait', 'maksud', 'tuju', 'bentuk', 'negara', 'indonesia', 'merdeka', 'tuang']"
Peristiwa Rengasdengklok merujuk pada peristiwa,C4,peristiwa rengasdengklok merujuk pada peristiwa,"['peristiwa', 'rengasdengklok', 'merujuk', 'pada', 'peristiwa']",<FreqDist with 4 samples and 5 outcomes>,"['peristiwa', 'rengasdengklok', 'merujuk', 'peristiwa']","['peristiwa', 'rengasdengklok', 'rujuk', 'peristiwa']"
Motivasi kedatangan bangsa Eropa ke dunia Timur dapat diungkapkan melalui slogan berikut ini ,C4,motivasi kedatangan bangsa eropa ke dunia timur dapat diungkapkan melalui slogan berikut ini ,"['motivasi', 'kedatangan', 'bangsa', 'eropa', 'ke', 'dunia', 'timur', 'dapat', 'diungkapkan', 'melalui', 'slogan', 'berikut', 'ini']",<FreqDist with 13 samples and 13 outcomes>,"['motivasi', 'kedatangan', 'bangsa', 'eropa', 'dunia', 'timur', 'slogan']","['motivasi', 'datang', 'bangsa', 'eropa', 'dunia', 'timur', 'slogan']"
Salah satu sebab timbulnya nasionalisme di kawasan Benua Asia ialah,C5,salah satu sebab timbulnya nasionalisme di kawasan benua asia ialah,"['salah', 'satu', 'sebab', 'timbulnya', 'nasionalisme', 'di', 'kawasan', 'benua', 'asia', 'ialah']",<FreqDist with 10 samples and 10 outcomes>,"['salah', 'timbulnya', 'nasionalisme', 'kawasan', 'benua', 'asia']","['salah', 'timbul', 'nasionalisme', 'kawasan', 'benua', 'asia']"
