Soal Pertanyaan,Label
ASEAN merupakan organisasi regional Asia Tenggara yang dibentuk berdasarkan Deklarasi Bangkok tanggal 8 Agustus 1967. Dilihat dari segi politik organisasi tersebut bertujuan ,C4
Gerakan Non Blok merupakan organisasi negara-negara berkembang yang dibentuk berdasarkan Konferensi Beograd pada tahun 1961. Organisasi yang digagas antara lain oleh Bung Karno tersebut bertujuan ,C4
Salah satu penyebab kacaunya kondisi perekonomian Indonesia pada masa awal kemerdekaan karena kas negara kosong. Upaya pemerintah Republik Indonesia mengisi kas negara yang kosong pada awal Kemerdekaan adalah ,C4
Indonesia harus dapat mengatasi permasalahan ekonomi yang dihadapi pada masa awal kemerdekaan. Salah satu upaya bangsa Indonesia dalam melakukan perbaikan ekonomi pada awal kemerdekaan dilakukan dengan cara ,C5
"Walaupun pada awalnya secara tersembunyi tujuan Pemerintah Kolonial mengeluarkan kebijakan Politik Etis adalah untuk menciptakan kalangan pegawai yang memiliki keterampilan dan dapat dibayar murah, namun kemudian kebijakan tersebut dapat memberikan dampak positif bagi bangsa Indonesia, yaitu ",C4
"Sejak terputusnya hubungan perdagangan antara Eropa dengan Timur Tengah, bangsa- bangsa Barat berlomba-lomba mencari dunia Timur khususnya ke nusantara. Dilihat dari segi politik pencarian ke dunia Timur tersebut antara lain bertujuan untuk 
",C4
Rumusan yang berkaitan dengan maksud dan tujuan pembentukan Negara Indonesia merdeka tertuang di dalam ,C4
Peristiwa Rengasdengklok merujuk pada peristiwa,C4
Motivasi kedatangan bangsa Eropa ke dunia Timur dapat diungkapkan melalui slogan berikut ini ,C4
Salah satu sebab timbulnya nasionalisme di kawasan Benua Asia ialah,C5
Politik Etis telah membawa kemajuan dalam bidang pendidikan mendorong tumbuhnya pergerakan nasional adalah gagasan dari ,C4
"Proklamasi Kemerdekaan 17 Agustus 1945 dijelaskan dengan menguraikan berbagai aspek seperti sosial, ekonomi, dan politik dikenal dengan cara berfikir",C6
"Dampak pendudukan Jepang atas Indonesia, terutama bagi organisasi Pergerakan Nasional Indonesia, yaitu ",C5
Pernyataan kemerdekaan Amerika Serikat dituangkan dalam,C4
"Setelah tahun 1943 Jepang melaksanakan politik lunak di Indonesia, sebab ",C4
Dampak dari proses modernisasi jepang di kawasan asia pasifik,C5
Usaha kaum liberalisme menghendaki dihapusnya sistem tanam paksa di Indonesia itu pada hakikatnya merupakan,C5
Pengaruh yang paling tepat yang mampu menggerakkan timbulnya nasionalisme Indonesia adalah ,C5
Pikiran utama dari gagasan politik etis yang dianjurkan oleh Theodorus van Deventer pada akhir abad 19 adalah ,C6
Salah satu faktor luar negeri yang mempengaruhi kebangkitan nasionalisme di Indonesia ialah,C4
Jatuhnya konstantinopel ke tangan Islam Turki ikut mendorong berkembangnya penjelajahan samudera karena,C5
"Pada masa awal pendudukan Jepang di Indonesia, para tokoh pergerakan nasional bersikap kooperatif terhadap Jepang. Hal ini terbukti dengan dibentuknya organisasi Pusat Tenaga Rakyat (Putera) oleh Jepang yang diketuai oleh Ir. Soekarno. Jepang berharap organisasi tersebut dapat dijadikan alat untuk mendukung perang Jepang di Pasifik. Namun kenyataan sebaliknya, para tokoh memanfaatkan organisasi tersebut untuk ",C4
Perang salib atau perang suci antara orang-orang Eropa melawan Turki Seljuk dan orang-orang Arab membawa dampak bagi sejarah dunia yaitu ,C4
Jatuhnya kota Konstantinopel ke tangan Turki Usmani membawa dampak ,C4
Pernyataan berikut yang sesuai dengan sikap Yogyakarta dalam hal Proklamasi kemerdekaan RI adalah ,C4
"Perkembangan organisasi pergerakan nasional dibagi ke dalam 3 (tiga) periode yaitu periode awal, periode radikal dan periode moderat. Pada periode radikal, organisasi pergerakan yang muncul memiliki asas perjuangan yang bersifat nonkooperatif. Pernyataan berikut yang merupakan faktor umum yang mendorong lahirnya berbagai organisasi pergerakan yang bersifat nonkooperatif adalah",C4
Bangsa yang dapat disebut sebagai kolonisator pertama adalah Bangsa,C4
"Perkembangan pers Indonesia pada awal abad 20 memberikan andil besar dalam pergerakan nasional. Dalam sejarah pergerakan nasional ada beberapa surat kabar yang sangat memengaruhi munculnya kesadaran berbangsa di Indonesia, seperti Bintang Hindia dan Medan Priyayi. Pers mempunyai peranan penting dalam perjuangan kebangsaan Indonesia, yaitu ",C5
Faktor paling penting yang membuat Jepang memberikan kesempatan dalam mempersiapkan kemerdekaan RI melalui didirikannya BPUPKI adalah ,C5
"Dampak adanya infiltrasi (penyusupan) dari tokoh-tokoh ISDV, Sarekat Islam (SI) pecah menjadi dua, yaitu SI Merah berpusat di Semarang, dan SI Putih berpusat di Yogyakarta. Perbedaan kedua SI tersebut, jika dilihat dari ideologi organisasi adalah
",C4
"Setelah bangsa Indonesia berhasil mencapai kemerdekaan pada tanggal 17 Agustus 1945 tidak berarti bangsa Indonesia terbebas dari penguasaan bangsa asing. Negara RI dibagi-bagi menjadi negara-negara bagian dan daerah-daerah otonom atau satuan kenegaraan oleh Belanda dengan tujuan memperkecil wilayah kekuasaan RI. Hal ini memicu timbulnya pertempuran di berbagai daerah di Indonesia, sebagai contohnya adalah pertempuran di Surabaya. Terjadinya pertempuran ini disebabkan karena Belanda ",C4
Pada tanggal 6 Agustus 1945 terjadi pemboman Hiroshima. Keadaan ini membuat Jepang merasa harus segera merealisasikan janji kemerdekaan Jepang. Salah satu upaya tersebut adalah dengan didirikannya PPKI dan dibubarkannya BPUPKI pada tanggal 7 Agustus 1945. Latar belakang didirikannya PPKI adalah ,C4
Gerakan Pemerintah Revolusioner Rakyat Indonesia (PRRI) merupakan gerakan ingin memisahkan dari negara Indonesia merdeka. Munculnya gerakan tersebut disebabkan karena adanya,C4
Permasalahan golongan tua dan golongan muda yang melatarbelakangi terjadinya peristiwa Rengasdengklok adalah ,C4
"Drs. Moh Hatta lahir pada tanggal 12 Agustus 1902 di daerah Bukittinggi, Sumatera Barat dan meninggal pada tanggal 14 Maret 1980 pada umurnya yang menginjak 77 tahun. Bung Hatta juga merupakan seseorang yang telah memperjuangkan kemerdekaan Indonesia dan merupakan wakil presiden pertama yang memimpin Indonesia Bersama Bung Karno. Bung Hatta memiliki peran yang besar juga dalam proklamasi kemerdekaan, yaitu ",C4
Ahmad Soebardjo adalah salah satu tokoh penting dalam peristiwa Proklamasi. Peran Soebardjo dalam peritiwa Proklamasi adalah,C4
"Indische Partij adalah organisasi pergerakan nasional yang didirikan oleh tiga tokoh yang dikenal dengan sebutan tiga serangkai, yaitu Douwes Dekker, Cipto Mangunkusumo, dan Suwardi Suryaningrat. Organisasi ini berdiri pada tahun 1912 dan organisasi ini bersifat politik. Indische Partij menunjukkan garis politik secara jelas dan tegas serta menginginkan suatu kesatuan penduduk yang multirasial. Hal ini disebabkan karena ",C4
Rapat penyusunan teks proklamasi dilaksanakan di rumah Laksamana Maeda dengan pertimbangan ,C4
"Gerakan reformasi di Indonesia tahun 1998 merupakan gerakan untuk memperbaiki tatanan bermasyarakat, berbangsa dan bernegara sesuai dengan nilai-nilai Pancasila dan UUD 1945. Penyebab utama terjadinya gerakan ini adalah ",C5
Dampak negatif pemilihan kepala daerah secara langsung adalah ,C5
"A.A. Maramis menyampaikan bahwa wakil-wakil umat Protestan dan Katolik yang berada dalam wilayah kekuasaan Angkatan Laut Jepang sangat berkeberatan dengan kalimat dalam Pembukaan Undang-Undang Dasar, yang berbunyi, “Ketuhanan dengan kewajiban menjalankan syariat Islam bagi pemeluk-pemeluknya”. Mereka sadar bahwa bagian kalimat itu tidak mengikat mereka, namun dengan mencantumkan ketetapan seperti itu dalam pembukaan dan dasar berdirinya suatu negara merupakan “diskriminasi” terhadap golongan minoritas. Dalam buku autobiografi Bung Hatta disebutkan bahwa jika “diskriminasi” itu ditetapkan juga, mereka lebih suka berdiri di luar Republik Indonesia. Bangsa Indonesia menyadari perihal kemajemukan rakyatnya. Akibat apa yang mungkin terjadi jika seorang memaksakan agamanya kepada orang lain yang telah beragama ",C6
Faktor penting keinginan Jepang memperluas wilayah sampai ke Indonesia adalah,C5
